society,Seshat,Region,pop.res1,ext_hier,ter.res,pol.cent,agr.ins,trophies.bin,Lat,Long,reg.lev,agr.st,time_period,PolPop,SPC1,PC1.st,pop.st,SPC1.st
Lau Fijians,no,Oceania,3,2,0,3,4,0,-17.74,-179.31,12,-0.052263486,1920 CE,NA,NA,-0.220584614,-1.256623426,NA
Lozi,no,Southern Africa,4.5,3,1,5,5,0,-15,23,14,0.536388414,1600-1890 CE,NA,NA,1.022230211,-0.230221086,NA
Maasai,no,Eastern Africa,4,1,0,2,1,0,-2,36,3,-1.818219187,1895-1907 CE,NA,NA,-0.521464043,-0.572355199,NA
Mae Enga,no,Oceania,5,0,0,2,3,0,-6,144,12,-0.640915387,1600-2000 CE,NA,NA,-0.530206509,0.111913028,NA
Mataco,no,Southern South America,3.5,0,0,2,1,1,-24,-63,17,-1.818219187,1896-1985 CE,NA,NA,-0.920085569,-0.914489313,NA
Mentaweians,no,Oceania,4,0,0,1,4,1,-2.93,100.23,12,-0.052263486,1900s CE,NA,NA,-1.082262845,-0.572355199,NA
MlMali*,yes,Western Africa,6,NA,1,4.5,5,0,11.94,-8.44,20,0.536388414,1230-1410 CE,6.663581221,0.7197023,NA,0.796181255,0.334048601
Mossi,no,Northwest Africa,6,3,1,5,3,0,13,-2,10,-0.640915387,1896-1910 CE,NA,NA,1.412109271,0.796181255,NA
Mundurucu,no,Northern South America,3,0,0,2,3,1,-6,-58,9,-0.640915387,1800-1953 CE,NA,NA,-1.050045255,-1.256623426,NA
Muscogee,no,Southern North America,3.5,2,0,4,3,1,33,-84,16,-0.640915387,1700-1912 CE,NA,NA,0.201512035,-0.914489313,NA
MxAlb1L,yes,Southern North America,4,NA,1,5,5.5,1,17,-96,16,0.830714364,300 BCE-100 BCE,4.698970004,0.362030791,NA,-0.572355199,-1.002469928
MxAztec,yes,Southern North America,6,4,1,5,6,1,19,-99,16,1.125040314,1427-1526 CE ,NA,NA,1.68077111,0.796181255,NA
MxEpicl,yes,Southern North America,4.5,3,1,4,6,1,19.43,-99.14,16,1.125040314,650-899 CE,NA,NA,0.730093248,-0.230221086,NA
Navajo,no,Central North America,4,0,0,2,6,1,37,-110,1,1.125040314,1840-1960 CE,NA,NA,-0.790125882,-0.572355199,NA
NorKing,yes,Europe,4,NA,1,4,5,0,64.13,-21.89,5,0.536388414,1262-1380 CE,4.712629374,0.528582535,NA,-0.572355199,-0.38011258
Nuer,no,Eastern Africa,5,0,1,2,3,0,8,32,3,-0.640915387,1890-1980 CE,NA,NA,-0.530206509,0.111913028,NA
Ojibway/Northern Saulteaux,no,Northeast America,3.5,0,0,2,1,1,52,-98,6,-1.818219187,1791-1804 CE,NA,NA,-0.920085569,-0.914489313,NA
Ona,no,Southern South America,2,0,0,2,1,0,-54,-69,17,-1.818219187,1880-1970 CE,NA,NA,-1.309964629,-1.940891653,NA
Pawnee,no,Central North America,3.5,1,0,3,3,1,42,-100,1,-0.640915387,1500-1900 CE,NA,NA,-0.359286767,-0.914489313,NA
PeInca*,yes,Western South America        ,7,NA,1,5,5,1,-13,-72,23,0.536388414,1375-1532 CE,7.10152,0.5984684,NA,1.480449482,-0.118968622
PeWari*,yes,Western South America        ,5,NA,1,5,6,1,-13,-74,23,1.125040314,650-999 CE,5.494946076,0.486610167,NA,0.111913028,-0.536951596
PgOrokE,yes,Oceania,4,NA,0,2,4,1,-9,148,12,-0.052263486,1734-1883 CE ,4.633811958,0.229975098,NA,-0.572355199,-1.495925168
Qarmatians,no,Southwest Asia,4.5,3,1,3,6,0,25.42,49.62,18,1.125040314,899-1077 CE,NA,NA,0.437956285,-0.230221086,NA
Samoans,no,Oceania,4,2,1,3,4,1,-13.68,-172.41,12,-0.052263486,1700-1897,NA,NA,0.039334759,-0.572355199,NA
Scythians (Uyuk Culture),no,Northern Asia,5,2,1,4,2,1,51.71,94.38,8,-1.229567287,700-200 BCE,NA,NA,0.591391095,0.111913028,NA
Senussi (Libyan Bedouin),no,Northern Africa,5,2,0,4,5,0,31,22,7,0.536388414,1948-1950 CE,NA,NA,0.591391095,0.111913028,NA
Shluh,no,Northwest Africa,5,1,0,3,5,0,31,-7,10,0.536388414,1848-1928 CE,NA,NA,0.030592293,0.111913028,NA
Somali,no,Eastern Africa,6,2,0,3,5,0,8,48,3,0.536388414,1924-1961 CE,NA,NA,0.559173506,0.796181255,NA
SyCalUm,yes,Southwest Asia,7,NA,1,5,6,1,33.5,36.32,18,1.125040314,661-750 CE,7.391731577,0.841906264,NA,1.480449482,0.790690681
Tiv,no,Western Africa,5,1,0,3,3,1,7,9,20,-0.640915387,1907-1956 CE,NA,NA,0.030592293,0.111913028,NA
Tlingit,no,Northwest America,4,0,0,2,1,1,58.12,-133.92,11,-1.818219187,1700-1972 CE,NA,NA,-0.790125882,-0.572355199,NA
TnFatim,yes,Northern Africa,6.5,NA,1,5,6,1,30.06,31.25,7,1.125040314,909-1171 CE,6.863135,0.8573108,NA,1.138315368,0.84825313
Toba,no,Southern South America,4,1,0,2,4,1,-25,-60,17,-0.052263486,1880 CE,NA,NA,-0.521464043,-0.572355199,NA
Tongans,no,Oceania,4,2,1,3,4,0,-19.74,-175.07,12,-0.052263486,1807-1900 CE,NA,NA,0.039334759,-0.572355199,NA
Toradja,no,Southeast Asia,4,1,0,2,3,1,-2,121,13,-0.640915387,1892-1932 CE,NA,NA,-0.521464043,-0.572355199,NA
TrERom*,yes,"Southwest Asia	",7,NA,1,5,5,0,41.1,29,19,0.536388414,395-631 CE,7.172838,0.911927,NA,1.480449482,1.052338614
TrGalat,yes,Europe,4.5,2,1,3,5,1,39.65,31.98,5,0.536388414,275-75 BCE,NA,NA,0.169294446,-0.230221086,NA
Trobrianders,no,Oceania,3,1,0,3,4,0,-8.43,151.09,12,-0.052263486,1898-1916 CE,NA,NA,-0.489246453,-1.256623426,NA
Tuareg,no,Northern Africa,6,2,1,3,6,0,23,6,7,1.125040314,1900-1940 CE,NA,NA,0.559173506,0.796181255,NA
Tukano,no,Eastern South America,3,0,0,2,4,1,0,-70,4,-0.052263486,1500-1900 CE,NA,NA,-1.050045255,-1.256623426,NA
Tupinamba,no,Eastern South America,4,1,0,2,3,1,-8,-35,4,-0.640915387,1500-1700 CE,NA,NA,-0.521464043,-0.572355199,NA
Turkana,no,Eastern Africa,4.5,0,0,1,3,0,4,35,3,-0.640915387,1940-1988 CE,NA,NA,-0.952303158,-0.230221086,NA
UgBito,no,Eastern Africa,6,3,1,5,5,0,2,32,3,0.536388414,1700 -1894 CE,NA,NA,1.412109271,0.796181255,NA
US1,no,Central North America,6.5,2,1,3,5,1,36,-83,1,0.536388414,1776-1861 CE,NA,NA,0.689133193,1.138315368,NA
UsIroqE,yes,Northeast America,3.5,NA,1,3,3,1,44,-78,6,-0.640915387,1600- 1713 CE,4.365764,0.3029415,NA,-0.914489313,-1.223270104
USMisME,yes,Central North America,2,NA,1,3,5,1,33,-90,1,0.536388414,900-1050 CE,2.633363734,0.1898,NA,-1.940891653,-1.646048288
USOneot,yes,Central North America,3,NA,0,2,3,1,41,-90,1,-0.640915387,1400-1650 CE,3.234302,0.2122612,NA,-1.256623426,-1.562117057
Yuki,no,Northwest America,3,0,0,2,1,1,40,-123,11,-1.818219187,1800-1937 CE,NA,NA,-1.050045255,-1.256623426,NA
Zulu,no,Southern Africa,5,3,1,5,3,0,-29,31,14,-0.640915387,1839-1879 CE,NA,NA,1.152189897,0.111913028,NA
