Options:
Model:                           MultiState
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh.txt
Log File Name:                   hh.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3477853148
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   hh.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q10                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - Hyper Prior exp (0.00,0.05) 
        q10 - Hyper Prior exp (0.00,0.05) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	q01	q10	Root P(0)	Root P(1)	q01 - Mean	q10 - Mean	
222000	-66.193955	834	0.175870	0.093749	0.357929	0.642071	0.047715	0.032492	
223000	-66.366616	37	0.186986	0.044271	0.580882	0.419118	0.038326	0.025322	
224000	-68.087444	844	0.052939	0.120987	0.005107	0.994893	0.047456	0.045858	
225000	-65.863326	587	0.134718	0.028977	0.318736	0.681264	0.028655	0.041660	
226000	-65.630088	251	0.146231	0.036892	0.654764	0.345236	0.049193	0.030507	
227000	-65.614981	13	0.087122	0.137366	0.001942	0.998058	0.035837	0.048715	
228000	-66.565881	180	0.139780	0.020012	0.372116	0.627884	0.036078	0.007573	
229000	-66.239045	84	0.120534	0.110694	0.025962	0.974038	0.041250	0.046036	
230000	-65.992694	567	0.137909	0.033808	0.279136	0.720864	0.036512	0.026819	
231000	-66.053810	64	0.137564	0.027058	0.320001	0.679999	0.041491	0.033276	
232000	-66.784145	263	0.151801	0.004089	0.857360	0.142640	0.042021	0.022093	
233000	-65.800568	171	0.140863	0.059623	0.595719	0.404281	0.035334	0.036973	
234000	-66.779085	894	0.118520	0.019382	0.685701	0.314299	0.034187	0.042912	
235000	-67.623497	257	0.102995	0.083681	0.037566	0.962434	0.044804	0.035191	
236000	-67.151987	768	0.098286	0.076169	0.032372	0.967628	0.029957	0.033777	
237000	-66.208949	242	0.159055	0.096822	0.259070	0.740930	0.045167	0.038675	
238000	-65.558341	648	0.096281	0.140354	0.001995	0.998005	0.031142	0.048877	
239000	-66.058329	500	0.087982	0.114926	0.004670	0.995330	0.040901	0.042134	
240000	-66.885012	368	0.144515	0.071987	0.247294	0.752706	0.036165	0.023837	
241000	-67.841492	792	0.184548	0.010712	0.780327	0.219673	0.048641	0.036200	
242000	-67.946140	467	0.159589	0.054206	0.365474	0.634526	0.035661	0.032447	
