Default schedule
Rate	71.43
Prior Change	14.29
Tree Move	14.29
Rate Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
706	0.310198	146	0.342466	148	0.709459	2.102489	706	0.310198	0.374000	0.349041	
709	0.296192	142	0.316901	149	0.637584	2.102489	709	0.296192	0.350000	0.349050	
716	0.287709	157	0.229299	127	0.614173	2.102489	716	0.287709	0.320000	0.348797	
694	0.322767	156	0.243590	150	0.706667	2.102489	694	0.322767	0.368000	0.348963	
728	0.326923	146	0.328767	126	0.515873	2.102489	728	0.326923	0.351000	0.348980	
701	0.259629	152	0.355263	147	0.632653	2.102489	701	0.259629	0.329000	0.348811	
731	0.320109	132	0.325758	137	0.664234	2.102489	731	0.320109	0.368000	0.348972	
719	0.326843	123	0.154472	158	0.639241	2.102489	719	0.326843	0.355000	0.349022	
711	0.317862	143	0.265734	146	0.712329	2.102489	711	0.317862	0.368000	0.349179	
728	0.315934	132	0.295455	140	0.614286	2.102489	728	0.315934	0.355000	0.349227	
725	0.315862	137	0.284672	138	0.681159	2.102489	725	0.315862	0.362000	0.349330	
705	0.275177	142	0.302817	153	0.718954	2.102489	705	0.275177	0.347000	0.349312	
707	0.318246	141	0.319149	152	0.717105	2.102489	707	0.318246	0.379000	0.349549	
725	0.304828	126	0.357143	149	0.651007	2.102489	725	0.304828	0.363000	0.349656	
712	0.352528	142	0.253521	146	0.616438	2.102489	712	0.352528	0.377000	0.349871	
729	0.278464	128	0.257812	143	0.580420	2.102489	729	0.278464	0.319000	0.349630	
700	0.282857	137	0.299270	163	0.754601	2.102489	700	0.282857	0.362000	0.349726	
699	0.313305	150	0.266667	151	0.629139	2.102489	699	0.313305	0.354000	0.349759	
714	0.295518	146	0.280822	140	0.650000	2.102489	714	0.295518	0.343000	0.349707	
699	0.317597	157	0.273885	144	0.708333	2.102489	699	0.317597	0.367000	0.349838	
