Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_pol.bin2.txt
Log File Name:                   DEP_pol2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3996754486
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_pol2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
155000	-133.389063	762	1	1	'0 0 0 0 0 Z 0 0 	D	0.197471	0.197471	0.197471	0.197471	0.197471	0.000000	0.197471	0.197471	0.214748	0.118977	0.225321	0.440954	0.275656	
156000	-135.940399	949	1	2	'0 0 0 0 0 Z 0 Z 	D	0.194683	0.194683	0.194683	0.194683	0.194683	0.000000	0.194683	0.000000	0.367086	0.013476	0.619227	0.000211	0.337849	
157000	-132.922168	841	1	0	'0 0 0 0 0 0 0 0 	I	0.110872	0.110872	0.110872	0.110872	0.110872	0.110872	0.110872	0.110872	0.023871	0.001155	0.929967	0.045007	0.345698	
158000	-133.969186	864	1	0	'0 0 0 0 0 0 0 0 	I	0.106813	0.106813	0.106813	0.106813	0.106813	0.106813	0.106813	0.106813	0.021933	0.000496	0.955962	0.021609	0.086566	
159000	-135.545720	264	1	3	'0 0 0 0 Z Z Z 0 	D	0.185125	0.185125	0.185125	0.185125	0.000000	0.000000	0.000000	0.185125	0.662353	0.337646	0.000000	0.000001	0.236510	
160000	-133.337094	628	1	0	'0 0 0 0 0 0 0 0 	I	0.146533	0.146533	0.146533	0.146533	0.146533	0.146533	0.146533	0.146533	0.081834	0.002935	0.883545	0.031686	0.279998	
161000	-134.104447	104	1	2	'0 0 0 0 Z Z 0 0 	D	0.200489	0.200489	0.200489	0.200489	0.000000	0.000000	0.200489	0.200489	0.378616	0.199837	0.000000	0.421547	0.323358	
162000	-133.531783	663	1	2	'0 0 0 0 Z Z 0 0 	D	0.188646	0.188646	0.188646	0.188646	0.000000	0.000000	0.188646	0.188646	0.351730	0.176087	0.000000	0.472183	0.306628	
163000	-136.040108	981	1	4	'Z 0 0 0 Z Z Z 0 	I	0.000000	0.221808	0.221808	0.221808	0.000000	0.000000	0.000000	0.221808	0.000000	0.999999	0.000000	0.000001	0.409158	
164000	-136.024182	958	1	1	'0 0 0 0 0 0 0 Z 	D	0.123838	0.123838	0.123838	0.123838	0.123838	0.123838	0.123838	0.000000	0.051379	0.000652	0.947965	0.000004	0.267871	
165000	-134.592979	529	1	2	'Z 0 0 0 0 Z 0 0 	I	0.000000	0.235249	0.235249	0.235249	0.235249	0.000000	0.235249	0.235249	0.000000	0.389750	0.000000	0.610250	0.309273	
166000	-132.230560	49	1	0	'0 0 0 0 0 0 0 0 	I	0.136110	0.136110	0.136110	0.136110	0.136110	0.136110	0.136110	0.136110	0.032853	0.001220	0.931339	0.034588	0.323303	
167000	-133.819096	440	1	0	'0 0 0 0 0 0 0 0 	I	0.124067	0.124067	0.124067	0.124067	0.124067	0.124067	0.124067	0.124067	0.069002	0.005735	0.854263	0.071000	0.272342	
168000	-136.894668	309	1	3	'Z Z 0 0 0 Z 0 0 	D	0.000000	0.000000	0.172312	0.172312	0.172312	0.000000	0.172312	0.172312	0.000000	0.017802	0.000000	0.982198	0.344001	
169000	-134.212073	202	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.267809	0.267809	0.267809	0.000000	0.000000	0.267809	0.267809	0.000000	0.433154	0.000000	0.566846	0.407596	
170000	-133.347446	150	1	1	'0 0 0 0 0 Z 0 0 	D	0.201642	0.201642	0.201642	0.201642	0.201642	0.000000	0.201642	0.201642	0.228209	0.118377	0.237734	0.415679	0.464891	
171000	-133.492552	818	1	4	'Z Z 0 0 Z Z 0 0 	D	0.000000	0.000000	0.250876	0.250876	0.000000	0.000000	0.250876	0.250876	0.000000	0.016503	0.000000	0.983497	0.194973	
172000	-135.806720	710	1	4	'Z Z 0 0 Z Z 0 0 	D	0.000000	0.000000	0.260946	0.260946	0.000000	0.000000	0.260946	0.260946	0.000000	0.010201	0.000000	0.989799	0.324443	
173000	-135.729282	990	1	1	'0 0 0 0 Z 0 0 0 	D	0.118629	0.118629	0.118629	0.118629	0.000000	0.118629	0.118629	0.118629	0.778309	0.023123	0.153127	0.045441	0.354298	
174000	-132.818847	392	1	1	'0 0 0 0 0 Z 0 0 	D	0.181684	0.181684	0.181684	0.181684	0.181684	0.000000	0.181684	0.181684	0.264758	0.087212	0.286338	0.361692	0.288401	
175000	-139.122046	948	1	3	'0 0 0 0 Z 0 Z Z 	D	0.136743	0.136743	0.136743	0.136743	0.000000	0.136743	0.000000	0.000000	0.996015	0.003977	0.000008	0.000000	0.247100	
176000	-133.010874	915	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.220978	0.220978	0.220978	0.000000	0.000000	0.220978	0.220978	0.000000	0.381615	0.000000	0.618385	0.285452	
177000	-134.391515	963	1	3	'0 0 0 0 Z Z Z 0 	D	0.162425	0.162425	0.162425	0.162425	0.000000	0.000000	0.000000	0.162425	0.721061	0.278937	0.000000	0.000002	0.143511	
178000	-132.023026	306	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.237603	0.237603	0.237603	0.000000	0.000000	0.237603	0.237603	0.000000	0.368638	0.000000	0.631362	0.140266	
179000	-134.170881	887	1	0	'0 0 0 0 0 0 0 0 	I	0.120670	0.120670	0.120670	0.120670	0.120670	0.120670	0.120670	0.120670	0.075982	0.007217	0.837275	0.079527	0.417580	
180000	-132.954604	834	1	3	'0 0 0 0 Z Z Z 0 	D	0.181733	0.181733	0.181733	0.181733	0.000000	0.000000	0.000000	0.181733	0.720983	0.279016	0.000000	0.000001	0.453962	
181000	-138.184785	897	1	3	'0 0 0 0 Z Z 0 Z 	D	0.244944	0.244944	0.244944	0.244944	0.000000	0.000000	0.244944	0.000000	0.943687	0.054774	0.000000	0.001539	0.248646	
182000	-136.616159	216	1	2	'0 0 0 0 0 Z 0 Z 	D	0.261498	0.261498	0.261498	0.261498	0.261498	0.000000	0.261498	0.000000	0.375230	0.012591	0.612007	0.000171	0.364883	
183000	-133.185657	181	1	1	'0 0 0 0 0 Z 0 0 	D	0.208036	0.208036	0.208036	0.208036	0.208036	0.000000	0.208036	0.208036	0.233306	0.133473	0.212849	0.420373	0.497235	
184000	-132.370497	938	1	2	'0 0 0 0 Z Z 0 0 	D	0.176330	0.176330	0.176330	0.176330	0.000000	0.000000	0.176330	0.176330	0.420413	0.139938	0.000000	0.439649	0.246328	
185000	-132.464160	706	1	0	'0 0 0 0 0 0 0 0 	I	0.127667	0.127667	0.127667	0.127667	0.127667	0.127667	0.127667	0.127667	0.144897	0.012282	0.776962	0.065859	0.277883	
186000	-133.440734	714	1	2	'0 0 0 0 Z Z 0 0 	D	0.186157	0.186157	0.186157	0.186157	0.000000	0.000000	0.186157	0.186157	0.458039	0.147140	0.000000	0.394821	0.100211	
187000	-132.361102	428	1	1	'0 0 0 0 0 Z 0 0 	D	0.215790	0.215790	0.215790	0.215790	0.215790	0.000000	0.215790	0.215790	0.235705	0.150765	0.247543	0.365987	0.267896	
188000	-133.831351	308	1	0	'0 0 0 0 0 0 0 0 	I	0.172592	0.172592	0.172592	0.172592	0.172592	0.172592	0.172592	0.172592	0.142460	0.017689	0.747085	0.092766	0.256914	
189000	-139.229371	883	1	3	'Z 0 0 0 0 Z Z 0 	D	0.000000	0.257195	0.257195	0.257195	0.257195	0.000000	0.000000	0.257195	0.000000	0.999999	0.000000	0.000001	0.308311	
190000	-134.529597	730	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.203278	0.203278	0.203278	0.000000	0.000000	0.203278	0.203278	0.000000	0.442913	0.000000	0.557087	0.215933	
191000	-132.088067	642	1	3	'Z 0 0 0 Z Z 0 0 	D	0.000000	0.234576	0.234576	0.234576	0.000000	0.000000	0.234576	0.234576	0.000000	0.396874	0.000000	0.603126	0.389076	
