Options:
Model:                           Discrete: Dependent
Tree File Name:                  an.treeS_hh_new.nex
Data File Name:                  hh_agr.txt
Log File Name:                   DEP_agr.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            884579305
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10100000
Burn in:                         100000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   DEP_agr.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,0.50) 
Tree Information
     Trees:                      1000
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
207000	-138.041702	558	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	0.224979	0.224979	0.224979	0.224979	0.224979	0.224979	0.000000	0.002353	0.138050	0.074455	0.785143	0.385493	
208000	-139.833646	959	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	0.140862	0.140862	0.140862	0.140862	0.140862	0.140862	0.140862	0.000067	0.042481	0.024067	0.933386	0.422670	
209000	-136.920388	550	1	1	'0 0 0 0 0 0 0 Z 	D	0.219438	0.219438	0.219438	0.219438	0.219438	0.219438	0.219438	0.000000	0.038792	0.226120	0.113122	0.621966	0.151115	
210000	-136.035957	736	1	1	'0 0 0 0 0 0 0 Z 	D	0.220912	0.220912	0.220912	0.220912	0.220912	0.220912	0.220912	0.000000	0.059035	0.214977	0.147754	0.578234	0.385996	
211000	-137.959315	368	1	1	'0 0 0 0 0 0 0 Z 	D	0.316526	0.316526	0.316526	0.316526	0.316526	0.316526	0.316526	0.000000	0.082489	0.275871	0.136321	0.505319	0.266042	
212000	-136.147360	556	1	3	'0 0 0 0 Z 0 Z Z 	D	0.154427	0.154427	0.154427	0.154427	0.000000	0.154427	0.000000	0.000000	0.053864	0.946135	0.000000	0.000000	0.057307	
213000	-136.618355	830	1	1	'0 0 0 0 0 0 0 Z 	D	0.183394	0.183394	0.183394	0.183394	0.183394	0.183394	0.183394	0.000000	0.051664	0.208507	0.293437	0.446392	0.351117	
214000	-137.259954	289	1	1	'0 0 0 0 0 0 0 Z 	D	0.296516	0.296516	0.296516	0.296516	0.296516	0.296516	0.296516	0.000000	0.093884	0.261188	0.162328	0.482601	0.222365	
215000	-136.813275	875	1	1	'0 0 0 0 0 0 0 Z 	D	0.222481	0.222481	0.222481	0.222481	0.222481	0.222481	0.222481	0.000000	0.028318	0.247840	0.080786	0.643057	0.386018	
216000	-135.863398	16	1	1	'0 0 0 0 0 0 0 Z 	D	0.229639	0.229639	0.229639	0.229639	0.229639	0.229639	0.229639	0.000000	0.061156	0.245693	0.147138	0.546013	0.338539	
217000	-137.080852	349	1	3	'0 0 0 0 Z 0 Z Z 	D	0.153077	0.153077	0.153077	0.153077	0.000000	0.153077	0.000000	0.000000	0.110107	0.889892	0.000001	0.000000	0.307157	
